회의일,부서,팀,회의 요약,과제명,Status,액션 아이템,월
2025-03-03,소자 개발실,회로 설계팀,전년도 회로 설계 분석 및 상세 스펙 목표 설정 관련 진행 현황 공유 및 다음 단계 논의,회로 효율 향상 프로젝트,On-track,우선순위 재조정 필요,3월
2025-02-18,신뢰성 평가팀,스트레스 분석팀,스트레스 조건별 열화 시험 계획 수립 관련 진행 현황 공유 및 다음 단계 논의,패키징 열화 분석 프로젝트,On-track,우선순위 재조정 필요,2월
2025-01-30,공정 혁신팀,ALD 증착팀,ALD 전구체 비교 실험 설계 관련 진행 현황 공유 및 다음 단계 논의,원자층 증착 최적화 프로젝트,Risk,우선순위 재조정 필요,1월
2025-01-07,신뢰성 평가팀,전기적 시험팀,전기 시험 항목 정비 및 자동화 로드맵 수립 관련 진행 현황 공유 및 다음 단계 논의,신뢰성 전기 시험 개선 프로젝트,Risk,특별 이슈 없음,1월
2025-03-13,공정 혁신팀,플라즈마 공정팀,식각 프로파일 편차 분석 관련 진행 현황 공유 및 다음 단계 논의,식각 균일도 개선 프로젝트,On-track,특별 이슈 없음,3월
2025-03-03,소자 개발실,인터페이스팀,현행 데이터 전송 구조 분석 관련 진행 현황 공유 및 다음 단계 논의,고속 인터페이스 개선 프로젝트,Risk,우선순위 재조정 필요,3월
2025-03-18,신뢰성 평가팀,전기적 시험팀,자동화 시험 시스템 기초 설계 관련 진행 현황 공유 및 다음 단계 논의,신뢰성 전기 시험 개선 프로젝트,Risk,추가 확인 필요,3월
2025-02-04,신뢰성 평가팀,스트레스 분석팀,시험 진행 및 열화 기준선 확보 관련 진행 현황 공유 및 다음 단계 논의,패키징 열화 분석 프로젝트,Risk,추가 확인 필요,2월
2025-03-17,소자 개발실,회로 설계팀,저전력 설계안 시뮬레이션 수행 관련 진행 현황 공유 및 다음 단계 논의,회로 효율 향상 프로젝트,Risk,추가 확인 필요,3월
2025-01-16,공정 혁신팀,ALD 증착팀,전구체 테스트 수행 및 반응성 비교 관련 진행 현황 공유 및 다음 단계 논의,원자층 증착 최적화 프로젝트,Risk,,1월
2025-01-16,공정 혁신팀,플라즈마 공정팀,균일도 편차 20% 이내 개선 목표 설정 관련 진행 현황 공유 및 다음 단계 논의,식각 균일도 개선 프로젝트,Delay,추가 확인 필요,1월
2025-02-03,소자 개발실,인터페이스팀,전송속도 개선 알고리즘 도입 검토 관련 진행 현황 공유 및 다음 단계 논의,고속 인터페이스 개선 프로젝트,On-track,,2월
2025-03-04,신뢰성 평가팀,전기적 시험팀,시험 자동화 시스템 시범 운영 관련 진행 현황 공유 및 다음 단계 논의,신뢰성 전기 시험 개선 프로젝트,Risk,요구사항 변경 반영,3월
2025-01-20,소자 개발실,회로 설계팀,회로 효율 15% 개선안 설계 완료 관련 진행 현황 공유 및 다음 단계 논의,회로 효율 향상 프로젝트,Risk,추가 확인 필요,1월
2025-02-03,소자 개발실,인터페이스팀,최종 전송 알고리즘 확정 및 적용 관련 진행 현황 공유 및 다음 단계 논의,고속 인터페이스 개선 프로젝트,On-track,요구사항 변경 반영,2월
2025-03-13,공정 혁신팀,플라즈마 공정팀,식각 균일도 실험 및 결과 도출 관련 진행 현황 공유 및 다음 단계 논의,식각 균일도 개선 프로젝트,Risk,추가 확인 필요,3월
2025-02-27,공정 혁신팀,ALD 증착팀,최적 전구체 기반 증착 조건 확립 관련 진행 현황 공유 및 다음 단계 논의,원자층 증착 최적화 프로젝트,Risk,우선순위 재조정 필요,2월
2025-01-21,신뢰성 평가팀,스트레스 분석팀,열화 원인 분석 및 개선안 도출 관련 진행 현황 공유 및 다음 단계 논의,패키징 열화 분석 프로젝트,On-track,추가 확인 필요,1월
